score_threshold,mask_threshold,mean_iou,mean_dice,num_samples
0.0,0.3,0.31081993283375914,0.3902261645170987,407
0.0,0.5,0.31156503849706046,0.39491255528797475,407
0.0,0.7,0.24595764498626282,0.3320256946768317,407
0.1,0.3,0.31933689154068706,0.39859145706685023,407
0.1,0.5,0.31871517378022285,0.4023859090759573,407
0.1,0.7,0.25306603989793514,0.3390634595725064,407
0.3,0.3,0.42307092949013625,0.5004558974306423,407
0.3,0.5,0.4264339461316825,0.5074197276970464,407
0.3,0.7,0.34929844946191857,0.4323862764168149,407
0.5,0.3,0.5201245241559334,0.5947391619756008,407
0.5,0.5,0.505321944304782,0.5844865894009089,407
0.5,0.7,0.43612012388913024,0.5172930853695812,407
0.7,0.3,0.5951759015365107,0.6559265585780398,407
0.7,0.5,0.5812598887968209,0.6443920494169042,407
0.7,0.7,0.5408361479528374,0.6088117010401509,407
0.9,0.3,0.42253731348581247,0.4349051447640768,407
0.9,0.5,0.4200971900044015,0.4328860062154567,407
0.9,0.7,0.4133597854889181,0.42719323819581384,407
