score_threshold,mask_threshold,mean_iou,mean_dice,num_samples
0.0,0.3,0.42390517497869196,0.5018975951641599,407
0.0,0.5,0.4211674984729431,0.5009916810479338,407
0.0,0.7,0.35708139646611947,0.44352538862813395,407
0.1,0.3,0.4775746772487261,0.5552690325168391,407
0.1,0.5,0.47663591696055824,0.5562944990125909,407
0.1,0.7,0.4104276117729392,0.49675097377349686,407
0.3,0.3,0.5351460476167229,0.610599533389856,407
0.3,0.5,0.5296688438320566,0.6067824451334713,407
0.3,0.7,0.46127087066773376,0.5440924946636788,407
0.5,0.3,0.5809860051260513,0.6540804506889486,407
0.5,0.5,0.5677190782435312,0.643720154320641,407
0.5,0.7,0.5091639671271916,0.59025407878786,407
0.7,0.3,0.6423135616040528,0.7132722608452673,407
0.7,0.5,0.624358071742123,0.6974034783133646,407
0.7,0.7,0.5711342457607349,0.649752133389396,407
0.9,0.3,0.6312672962825072,0.6873152349713655,407
0.9,0.5,0.622302498770182,0.679512989384625,407
0.9,0.7,0.5887068262736456,0.6497295726118655,407
