score_threshold,mask_threshold,mean_iou,mean_dice,num_samples
0.0,0.3,0.405860362457935,0.4921479780842596,407
0.0,0.5,0.405860362457935,0.4921479780842596,407
0.0,0.7,0.405860362457935,0.4921479780842596,407
0.1,0.3,0.4587580429583594,0.5422468100667842,407
0.1,0.5,0.4587580429583594,0.5422468100667842,407
0.1,0.7,0.4587580429583594,0.5422468100667842,407
0.3,0.3,0.5254202696180995,0.6023855416720097,407
0.3,0.5,0.5254202696180995,0.6023855416720097,407
0.3,0.7,0.5254202696180995,0.6023855416720097,407
0.5,0.3,0.5756585987233757,0.6500130763711699,407
0.5,0.5,0.5756585987233757,0.6500130763711699,407
0.5,0.7,0.5756585987233757,0.6500130763711699,407
0.7,0.3,0.6370130501874494,0.7086084405256569,407
0.7,0.5,0.6370130501874494,0.7086084405256569,407
0.7,0.7,0.6370130501874494,0.7086084405256569,407
0.9,0.3,0.6233822451239858,0.6805395642224014,407
0.9,0.5,0.6233822451239858,0.6805395642224014,407
0.9,0.7,0.6233822451239858,0.6805395642224014,407
