score_threshold,mask_threshold,mean_iou,mean_dice,num_samples
0.0,0.3,0.23740549612404827,0.325159662190972,407
0.0,0.5,0.23740549612404827,0.325159662190972,407
0.0,0.7,0.23740549612404827,0.325159662190972,407
0.1,0.3,0.28818366020680336,0.3760828639197725,407
0.1,0.5,0.28818366020680336,0.3760828639197725,407
0.1,0.7,0.28818366020680336,0.3760828639197725,407
0.3,0.3,0.4025343524648008,0.486528677044963,407
0.3,0.5,0.4025343524648008,0.486528677044963,407
0.3,0.7,0.4025343524648008,0.486528677044963,407
0.5,0.3,0.5077780633536481,0.5869199498721878,407
0.5,0.5,0.5077780633536481,0.5869199498721878,407
0.5,0.7,0.5077780633536481,0.5869199498721878,407
0.7,0.3,0.5623612253353552,0.6328275560917149,407
0.7,0.5,0.5623612253353552,0.6328275560917149,407
0.7,0.7,0.5623612253353552,0.6328275560917149,407
0.9,0.3,0.492717299209814,0.5255242892327856,407
0.9,0.5,0.492717299209814,0.5255242892327856,407
0.9,0.7,0.492717299209814,0.5255242892327856,407
