score_threshold,mask_threshold,mean_iou,mean_dice,num_samples
0.0,0.3,0.561276282459789,0.6188915501787842,407
0.0,0.5,0.55343896903765,0.6109179039689783,407
0.0,0.7,0.5200779012702194,0.5783920724984803,407
0.1,0.3,0.574531890171899,0.6298335227921775,407
0.1,0.5,0.566477911631685,0.6217949540489451,407
0.1,0.7,0.5337042626541579,0.58981848528585,407
0.3,0.3,0.5903602226851221,0.6433870733117942,407
0.3,0.5,0.5826337173864634,0.6356488390578361,407
0.3,0.7,0.5554471810023598,0.6096422508674182,407
0.5,0.3,0.5835579875825452,0.6328036098315519,407
0.5,0.5,0.576402224024727,0.625732907346605,407
0.5,0.7,0.5504442062504418,0.5997843674704799,407
0.7,0.3,0.5765533860224541,0.6229879305576916,407
0.7,0.5,0.567626825176152,0.6145733179037203,407
0.7,0.7,0.5489889385641302,0.5958786100834262,407
0.9,0.3,0.5620740743969517,0.6011739898076127,407
0.9,0.5,0.5559672512663077,0.5954882561016293,407
0.9,0.7,0.5432190115046805,0.5833117175725354,407
