score_threshold,mask_threshold,mean_iou,mean_dice,num_samples
0.0,0.3,0.3891661739892901,0.4673650835964887,407
0.0,0.5,0.3793154755519858,0.46057612559568073,407
0.0,0.7,0.30266535629232805,0.3908572908018163,407
0.1,0.3,0.43862163686060845,0.5164764944177008,407
0.1,0.5,0.4280491158365415,0.5093640668723625,407
0.1,0.7,0.3496519594437403,0.43692503328505994,407
0.3,0.3,0.509070812159925,0.5861132670639551,407
0.3,0.5,0.4901963706476899,0.5719882781768211,407
0.3,0.7,0.42409725574816254,0.5082125728275145,407
0.5,0.3,0.566305885349378,0.6399949258463173,407
0.5,0.5,0.5393085958898126,0.6169090603940087,407
0.5,0.7,0.47540818146113895,0.5550054199366266,407
0.7,0.3,0.5847403025987162,0.6514239616287191,407
0.7,0.5,0.5538531776117261,0.6241979189545823,407
0.7,0.7,0.5012454284592032,0.5718663373217782,407
0.9,0.3,0.44295082529148866,0.4658891467092947,407
0.9,0.5,0.43933205720786433,0.4625142191119789,407
0.9,0.7,0.4321136329881921,0.45575529211649224,407
